gen,max_sectors_kb,nr_requests,read_ahead_kb,nomerges,scheduler,rq_affinity,read_throughput,read_latency,is_pareto
2.0,2170,17,1,2,0,2,793299.0,643072.0,0.0
2.0,3493,105,6,0,0,1,731783.0,626688.0,0.0
3.0,3239,69,0,0,0,1,1035522.0,626688.0,1.0
3.0,3036,9,3,2,0,0,765327.0,501760.0,1.0
3.0,1479,78,0,2,0,1,880550.0,593920.0,1.0
3.0,1579,76,0,1,0,0,878517.0,522240.0,1.0
3.0,3141,16,0,0,0,1,921431.0,692224.0,0.0
3.0,3658,76,0,1,0,0,1022020.0,1171456.0,0.0
3.0,3757,1,0,2,0,0,986373.0,929792.0,0.0
3.0,1480,40,3,0,0,1,888143.0,643072.0,0.0
3.0,2179,1,0,2,0,0,965611.0,700416.0,0.0
3.0,2798,4,0,2,0,2,796872.0,528384.0,0.0
3.0,2880,1,0,2,0,1,872847.0,618496.0,0.0
3.0,1614,78,0,1,0,1,815436.0,552960.0,0.0
3.0,3480,6,0,0,0,1,855617.0,602112.0,0.0
3.0,4055,15,0,1,0,2,841247.0,593920.0,0.0
3.0,1602,70,0,2,0,0,885187.0,643072.0,0.0
3.0,2916,11,5,1,0,1,899281.0,700416.0,0.0
3.0,42,54,2,2,0,1,909220.0,823296.0,0.0
3.0,4,27,0,0,0,0,943559.0,1810432.0,0.0
3.0,2298,26,0,2,0,2,870564.0,618496.0,0.0
3.0,3091,5,2,2,0,2,805644.0,561152.0,0.0
3.0,2796,1,0,2,0,0,855233.0,610304.0,0.0
3.0,3103,6,0,0,0,1,833468.0,593920.0,0.0
3.0,3066,1,0,0,0,2,875228.0,659456.0,0.0
3.0,3608,97,0,0,0,0,877446.0,749568.0,0.0
3.0,1480,80,0,0,0,1,879305.0,782336.0,0.0
3.0,2916,14,5,1,0,1,899857.0,847872.0,0.0
3.0,3160,27,0,2,0,2,863037.0,626688.0,0.0
3.0,2916,4,0,1,0,1,870205.0,643072.0,0.0
3.0,3184,6,5,2,0,1,772162.0,577536.0,0.0
3.0,68,54,0,2,0,1,841732.0,618496.0,0.0
3.0,2798,7,0,2,0,2,825655.0,610304.0,0.0
3.0,2311,6,3,2,0,2,797011.0,593920.0,0.0
3.0,2787,1,0,2,0,0,872983.0,741376.0,0.0
3.0,3066,23,0,0,0,2,873889.0,749568.0,0.0
3.0,1456,82,0,2,0,1,876405.0,774144.0,0.0
3.0,3658,76,0,1,0,0,883141.0,1089536.0,0.0
3.0,2798,7,0,2,0,2,861500.0,634880.0,0.0
3.0,4,1,0,0,0,0,866939.0,643072.0,0.0
3.0,3184,6,5,2,0,1,760293.0,577536.0,0.0
3.0,814,56,3,2,0,1,808489.0,626688.0,0.0
3.0,2170,17,1,1,0,1,796957.0,618496.0,0.0
3.0,3091,5,2,0,0,2,783604.0,602112.0,0.0
3.0,2311,6,3,2,0,2,746622.0,577536.0,0.0
3.0,2880,1,2,2,0,1,879982.0,1548288.0,0.0
3.0,1614,22,0,2,0,2,877983.0,1089536.0,0.0
3.0,2760,56,5,2,0,1,793415.0,618496.0,0.0
3.0,2298,26,0,2,0,2,876061.0,790528.0,0.0
3.0,2286,8,0,2,0,2,842014.0,634880.0,0.0
3.0,2322,5,5,2,0,1,759644.0,602112.0,0.0
3.0,2846,73,0,2,0,2,858739.0,651264.0,0.0
4.0,3239,69,0,0,0,1,1035522.0,626688.0,1.0
4.0,3036,9,3,2,0,0,765327.0,501760.0,1.0
4.0,1479,78,0,2,0,1,880550.0,593920.0,1.0
4.0,1579,76,0,1,0,0,878517.0,522240.0,1.0
4.0,2784,4,0,2,0,2,879982.0,585728.0,1.0
4.0,2596,5,0,0,0,2,879126.0,552960.0,1.0
4.0,3141,16,0,0,0,1,921431.0,692224.0,0.0
4.0,3658,76,0,1,0,0,1022020.0,1171456.0,0.0
4.0,1480,40,3,0,0,1,888143.0,643072.0,0.0
4.0,42,54,1,2,0,1,914249.0,659456.0,0.0
4.0,3160,27,0,2,0,0,1009903.0,700416.0,0.0
4.0,2798,4,0,2,0,2,796872.0,528384.0,0.0
4.0,1169,76,0,1,0,0,873568.0,536576.0,0.0
4.0,1602,70,0,2,0,0,885187.0,643072.0,0.0
4.0,3757,1,0,2,0,0,986373.0,929792.0,0.0
4.0,2179,1,0,2,0,0,965611.0,700416.0,0.0
4.0,2906,14,5,1,0,1,742959.0,528384.0,0.0
4.0,2880,1,0,2,0,1,872847.0,618496.0,0.0
4.0,1407,1,0,0,0,2,869708.0,544768.0,0.0
4.0,3256,56,2,2,0,1,883582.0,651264.0,0.0
4.0,2916,11,5,1,0,1,899281.0,700416.0,0.0
4.0,3281,56,0,0,0,1,950016.0,749568.0,0.0
4.0,2298,26,0,2,0,2,870564.0,618496.0,0.0
4.0,1614,78,0,1,0,1,815436.0,552960.0,0.0
4.0,3480,6,0,0,0,1,855617.0,602112.0,0.0
4.0,4055,15,0,1,0,2,841247.0,593920.0,0.0
4.0,3066,1,0,0,0,2,875228.0,659456.0,0.0
4.0,2798,2,0,2,0,2,876514.0,733184.0,0.0
4.0,42,54,2,2,0,1,909220.0,823296.0,0.0
