gen,max_sectors_kb,nr_requests,read_ahead_kb,nomerges,scheduler,rq_affinity,write_throughput,write_latency,is_pareto
1.0,3700,48,5,1,0,1,555610.0,17694720.0,0.0
2.0,1271,6,3,0,0,1,571037.0,17170432.0,1.0
2.0,1271,6,2,0,0,1,584954.0,17432576.0,1.0
2.0,1223,92,2,2,0,0,529243.0,16908288.0,1.0
2.0,438,89,1,0,0,1,595395.0,18219008.0,1.0
2.0,3996,117,0,1,0,0,586944.0,17694720.0,1.0
2.0,2283,42,0,2,0,2,526770.0,16318464.0,1.0
2.0,2307,10,6,0,0,0,538774.0,17170432.0,0.0
2.0,1905,117,3,0,0,1,582286.0,17432576.0,0.0
2.0,434,14,2,2,0,0,518572.0,16318464.0,0.0
2.0,1038,21,0,2,0,0,526300.0,16580608.0,0.0
2.0,354,93,2,2,0,2,521681.0,16449536.0,0.0
2.0,1776,9,0,2,0,2,535614.0,17170432.0,0.0
2.0,3173,118,2,1,0,1,580880.0,17956864.0,0.0
2.0,345,75,4,0,0,2,580351.0,17432576.0,0.0
2.0,1940,85,4,1,0,1,517210.0,16318464.0,0.0
2.0,3738,48,5,1,0,1,523101.0,17170432.0,0.0
2.0,1493,30,5,0,0,0,577648.0,17432576.0,0.0
2.0,130,53,2,2,0,1,579793.0,17956864.0,0.0
2.0,1071,45,6,0,0,0,578332.0,17694720.0,0.0
2.0,883,45,6,1,0,1,504657.0,16318464.0,0.0
2.0,2850,53,4,1,0,0,514679.0,16449536.0,0.0
2.0,4094,86,5,2,0,1,577646.0,17432576.0,0.0
2.0,1128,92,2,2,0,0,578787.0,18743296.0,0.0
2.0,1641,24,5,1,0,2,499269.0,16318464.0,0.0
2.0,3700,47,5,1,0,1,510733.0,16449536.0,0.0
2.0,817,39,2,1,0,0,513448.0,16908288.0,0.0
2.0,883,45,6,0,0,1,573027.0,17432576.0,0.0
2.0,1455,120,1,0,0,0,574538.0,17694720.0,0.0
2.0,1968,28,3,1,0,1,480593.0,16318464.0,0.0
2.0,121,72,1,1,0,0,491262.0,16449536.0,0.0
2.0,2364,82,6,2,0,1,507697.0,16580608.0,0.0
2.0,3378,86,5,1,0,1,511047.0,16908288.0,0.0
2.0,1786,83,2,0,0,0,569643.0,17432576.0,0.0
2.0,1786,89,2,0,0,0,573244.0,17694720.0,0.0
2.0,3165,29,6,1,0,1,506849.0,16580608.0,0.0
2.0,1639,56,5,0,0,1,568937.0,17432576.0,0.0
2.0,2850,51,4,1,0,0,572234.0,17694720.0,0.0
2.0,3996,117,3,1,0,0,502975.0,16580608.0,0.0
2.0,4012,117,3,1,0,0,506768.0,16908288.0,0.0
2.0,891,45,6,0,0,1,566649.0,17432576.0,0.0
2.0,3378,103,2,0,0,1,572135.0,17956864.0,0.0
2.0,3520,32,5,0,0,1,570954.0,17694720.0,0.0
2.0,1629,58,5,1,0,1,501100.0,16580608.0,0.0
2.0,291,102,2,0,0,2,565898.0,17432576.0,0.0
2.0,1455,41,1,0,0,0,572087.0,17956864.0,0.0
2.0,3984,117,3,1,0,0,569266.0,17694720.0,0.0
2.0,1643,56,5,1,0,1,498962.0,16711680.0,0.0
2.0,3987,117,3,1,0,0,480195.0,16580608.0,0.0
2.0,2212,46,0,2,0,0,496022.0,16711680.0,0.0
2.0,1905,124,3,0,0,1,567335.0,20578304.0,0.0
3.0,1271,6,3,0,0,1,571037.0,17170432.0,1.0
3.0,1271,6,2,0,0,1,584954.0,17432576.0,1.0
3.0,438,89,1,0,0,1,595395.0,18219008.0,1.0
3.0,3996,117,0,1,0,0,586944.0,17694720.0,1.0
3.0,2283,42,0,2,0,2,526770.0,16318464.0,1.0
3.0,963,72,1,2,0,0,540883.0,16449536.0,1.0
3.0,2223,42,0,2,0,1,592301.0,17956864.0,1.0
3.0,1905,117,3,0,0,1,582286.0,17432576.0,0.0
3.0,434,14,2,2,0,0,518572.0,16318464.0,0.0
3.0,1223,92,2,2,0,0,529243.0,16908288.0,0.0
3.0,2307,10,6,0,0,0,538774.0,17170432.0,0.0
3.0,1038,21,0,2,0,0,526300.0,16580608.0,0.0
3.0,354,93,2,2,0,2,521681.0,16449536.0,0.0
3.0,1732,117,3,1,0,0,590466.0,17956864.0,0.0
3.0,345,75,4,0,0,2,580351.0,17432576.0,0.0
3.0,1940,85,4,1,0,1,517210.0,16318464.0,0.0
3.0,1776,9,0,2,0,2,535614.0,17170432.0,0.0
3.0,886,45,6,1,0,1,586014.0,17956864.0,0.0
3.0,1493,30,5,0,0,0,577648.0,17432576.0,0.0
3.0,1071,45,6,0,0,0,578332.0,17694720.0,0.0
3.0,883,45,6,1,0,1,504657.0,16318464.0,0.0
3.0,2850,53,4,1,0,0,514679.0,16449536.0,0.0
3.0,434,14,6,1,0,1,516850.0,16908288.0,0.0
3.0,3738,48,5,1,0,1,523101.0,17170432.0,0.0
3.0,3173,118,2,1,0,1,580880.0,17956864.0,0.0
3.0,1071,41,6,0,0,0,582367.0,18219008.0,0.0
3.0,4094,86,5,2,0,1,577646.0,17432576.0,0.0
3.0,1641,24,5,1,0,2,499269.0,16318464.0,0.0
3.0,3700,47,5,1,0,1,510733.0,16449536.0,0.0
3.0,817,39,2,1,0,0,513448.0,16908288.0,0.0
3.0,130,53,2,2,0,1,579793.0,17956864.0,0.0
3.0,883,45,6,0,0,1,573027.0,17432576.0,0.0
3.0,1455,120,1,0,0,0,574538.0,17694720.0,0.0
3.0,1968,28,3,1,0,1,480593.0,16318464.0,0.0
3.0,121,72,1,1,0,0,491262.0,16449536.0,0.0
3.0,2364,82,6,2,0,1,507697.0,16580608.0,0.0
3.0,3378,86,5,1,0,1,511047.0,16908288.0,0.0
3.0,1128,92,2,2,0,0,578787.0,18743296.0,0.0
3.0,1786,83,2,0,0,0,569643.0,17432576.0,0.0
3.0,1786,89,2,0,0,0,573244.0,17694720.0,0.0
3.0,883,118,6,0,0,1,574061.0,17956864.0,0.0
3.0,1913,6,2,0,0,1,507572.0,16580608.0,0.0
3.0,1038,116,0,2,0,0,509306.0,16908288.0,0.0
3.0,1639,56,5,0,0,1,568937.0,17432576.0,0.0
3.0,2850,51,4,1,0,0,572234.0,17694720.0,0.0
3.0,883,45,6,1,0,2,572879.0,20054016.0,0.0
3.0,3165,29,6,1,0,1,506849.0,16580608.0,0.0
3.0,3378,103,2,0,0,1,572135.0,17956864.0,0.0
3.0,3996,117,3,1,0,0,502975.0,16580608.0,0.0
3.0,891,45,6,0,0,1,566649.0,17432576.0,0.0
4.0,1271,6,3,0,0,1,571037.0,17170432.0,1.0
4.0,1271,6,2,0,0,1,584954.0,17432576.0,1.0
4.0,438,89,1,0,0,1,595395.0,18219008.0,1.0
4.0,3996,117,0,1,0,0,586944.0,17694720.0,1.0
4.0,2283,42,0,2,0,2,526770.0,16318464.0,1.0
4.0,963,72,1,2,0,0,540883.0,16449536.0,1.0
4.0,1647,56,5,0,0,1,592733.0,17956864.0,1.0
4.0,372,11,2,2,0,0,541319.0,16908288.0,1.0
4.0,1905,117,3,0,0,1,582286.0,17432576.0,0.0
4.0,434,14,2,2,0,0,518572.0,16318464.0,0.0
4.0,1038,21,0,2,0,0,526300.0,16580608.0,0.0
4.0,354,93,2,2,0,2,521681.0,16449536.0,0.0
4.0,2223,42,0,2,0,1,592301.0,17956864.0,0.0
4.0,1223,92,2,2,0,0,529243.0,16908288.0,0.0
4.0,2307,10,6,0,0,0,538774.0,17170432.0,0.0
4.0,345,75,4,0,0,2,580351.0,17432576.0,0.0
4.0,1940,85,4,1,0,1,517210.0,16318464.0,0.0
